Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Result,Count_Number,Non_Transferable,Occurred_On_Count,Required_To_Reach_Quota,Required_To_Save_Deposit,Transfers,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes,first_pref_percentage
Munster,Clare,Michael Harty,M,Non-Party,Others,NON-P.,Elected,1,0,0,2772,0,0,8629,183,166,627,235,520,328,1119,,,,,,,,,11807,0.67
Munster,Clare,Pat Breen,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,4818,0,0,6583,38,19,217,480,83,92,278,95,382,1796,,,,,,10063,0.51
Munster,Clare,Timmy Dooley,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,1186,0,0,10215,77,90,98,144,148,1378,0,0,0,0,,,,,,12150,0.80
Munster,Cork East,David Stanton,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3391,0,0,7171,125,105,83,109,719,787,1911,0,,,,,,,,11010,0.56
Munster,Cork East,Kevin O'Keeffe,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2298,0,0,8264,26,57,69,132,327,379,1155,0,,,,,,,,10409,0.65
Munster,Cork East,Pat Buckley,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,5204,0,0,5358,79,135,397,807,85,820,282,182,,,,,,,,8145,0.42
Munster,Cork East,Sean Sherlock,M,The Labour Party,LAB.,LAB.,Elected,1,0,0,3613,0,0,6949,175,270,92,294,894,312,1887,,,,,,,,,10873,0.54
Munster,Cork North Central,Billy Kelleher,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,14286,,,,,,,,,,,,,,,,14286,1.12
Munster,Cork North Central,Dara Murphy,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,4971,0,0,5264,454,28,54,157,51,158,119,34,2853,,,,,,,9172,0.41
Munster,Cork North Central,Jonathan O'Brien,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,4004,0,0,6231,410,113,111,74,321,202,,,,,,,,,,7462,0.49
