Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Seat,Result,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes
Munster,Clare,Richard Cahill,M,Non-Party,Others,NON-P.,0,Excluded,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Timmy Dooley,M,Fianna Fáil,F.F.,F.F.,1,Elected,10215,10292,10382,10480,10624,10772,12150,11401,11401,11401,11401,11401,0,0,0,0,11401
Munster,Cork East,Barbara Ahern,F,Fianna Fáil,F.F.,F.F.,0,Excluded,4594,4635,4730,4824,4986,5081,5553,6216,6432,6781,0,0,0,0,0,0,0
Munster,Cork East,Ciara Leonardi-Roche,F,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,1999,2176,2586,3237,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,David Stanton,M,Fine Gael,F.G.,F.G.,1,Elected,7171,7296,7401,7484,7593,8312,9099,9647,11558,11558,0,0,0,0,0,0,11558
Munster,Cork East,Ken Curtin,M,Social Democrats,Others,S.D.,0,Excluded,1386,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Kevin O'Keeffe,M,Fianna Fáil,F.F.,F.F.,1,Elected,8264,8290,8347,8416,8548,8875,9254,9880,11035,11035,0,0,0,0,0,0,11035
Munster,Cork East,Kieran McCarthy,M,Non-Party,Others,NON-P.,0,Excluded,1635,1692,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Mary Linehan-Foley,F,Non-Party,Others,NON-P.,0,Excluded,3145,3280,3365,3515,4104,4132,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Natasha Harty,F,Green Party,G.P.,G.P.,0,Excluded,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Noel McCarthy,M,Fine Gael,F.G.,F.G.,0,Excluded,4406,4425,4479,4565,4718,5688,5779,6203,0,0,0,0,0,0,0,0,0
Munster,Cork East,Paddy Bullman,M,Non-Party,Others,NON-P.,0,Excluded,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Pat Buckley,M,Sinn Féin,S.F.,S.F.,1,Elected,5358,5437,5572,5969,6776,6861,7681,8175,8457,8639,0,0,0,0,0,0,8639
Munster,Cork East,Paul Bradford,M,Renua Ireland,Others,R.I.,0,Excluded,3244,3327,3460,3531,3834,4191,4596,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Ross Cannon,M,Non-Party,Others,NON-P.,0,Excluded,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork East,Sean Sherlock,M,The Labour Party,LAB.,LAB.,1,Elected,6949,7124,7394,7486,7780,8674,8986,9916,11803,10562,0,0,0,0,0,0,10562
Munster,Cork East,Tom Barry,M,Fine Gael,F.G.,F.G.,0,Excluded,3461,3495,3520,3532,3573,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Billy Kelleher,M,Fianna Fáil,F.F.,F.F.,1,Elected,14286,10235,10235,10235,10235,10235,10235,10235,10235,10235,10235,0,0,0,0,0,10235
Munster,Cork North Central,Dara Murphy,M,Fine Gael,F.G.,F.G.,1,Elected,5264,5718,5746,5800,5957,6008,6166,6250,6369,6403,9256,0,0,0,0,0,9256
Munster,Cork North Central,Ger Keohane,M,Non-Party,Others,NON-P.,0,Excluded,912,1152,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Jonathan O'Brien,M,Sinn Féin,S.F.,S.F.,1,Elected,6231,6641,6754,6865,6939,7260,7462,11079,10235,10235,10235,0,0,0,0,0,10235
Munster,Cork North Central,Julie O'Leary,F,Fine Gael,F.G.,F.G.,0,Excluded,3841,4283,4364,4443,4687,4771,5138,5225,5488,5581,0,0,0,0,0,0,0
Munster,Cork North Central,Kathleen Lynch,F,The Labour Party,LAB.,LAB.,0,Excluded,3723,4358,4419,4506,4608,4718,5286,5436,5805,5973,7491,0,0,0,0,0,0
Munster,Cork North Central,Mick Barry,M,Anti-Austerity Alliance,Others,AAA-PBP,1,Elected,8041,8713,8904,9138,9347,10097,10714,10714,10714,10235,10235,0,0,0,0,0,10235
Munster,Cork North Central,Mick Murphy,M,Non-Party,Others,NON-P.,0,Excluded,215,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Oliver Moran,M,Green Party,G.P.,G.P.,0,Excluded,1693,1936,2011,2108,2331,2490,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Paddy O'Leary,M,Renua Ireland,Others,R.I.,0,Excluded,1120,1445,1520,1716,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Peter O'Loughlin,M,Non-Party,Others,NON-P.,0,Excluded,183,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Ted Tynan,M,Workers Party,Others,W.P.,0,Excluded,1419,1615,1694,1805,1919,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Thomas Gould,M,Sinn Féin,S.F.,S.F.,0,Excluded,3773,4047,4100,4175,4236,4398,4458,0,0,0,0,0,0,0,0,0,0
Munster,Cork North Central,Thomas Kiely,M,Non-Party,Others,NON-P.,0,Excluded,473,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Aindrias Moynihan,M,Fianna Fáil,F.F.,F.F.,1,Elected,8924,9004,9201,9367,9678,9956,10755,11141,11959,0,0,0,0,0,0,0,11959
Munster,Cork North West,Áine Collins Collins,F,Fine Gael,F.G.,F.G.,0,Excluded,6237,6297,6495,6685,6944,7191,7388,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Cormac Manning,M,Green Party,G.P.,G.P.,0,Excluded,1354,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Diarmuid O'Flynn,M,Non-Party,Others,NON-P.,0,Excluded,2159,2317,2499,2727,2930,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Jason Fitzgerald,M,Renua Ireland,Others,R.I.,0,Excluded,1568,1633,1760,1880,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Jerry O'Sullivan,M,Non-Party,Others,NON-P.,0,Excluded,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,John Paul O'Shea,M,Non-Party,Others,NON-P.,0,Excluded,4814,4919,5033,5444,5723,6687,7897,8549,9680,0,0,0,0,0,0,0,0
Munster,Cork North West,Michael Creed,M,Fine Gael,F.G.,F.G.,1,Elected,8869,9024,9174,9327,9566,9747,10078,14957,11740,0,0,0,0,0,0,0,11740
Munster,Cork North West,Michael Moynihan,M,Fianna Fáil,F.F.,F.F.,1,Elected,7332,7344,7374,7519,7758,8144,8388,9228,9929,0,0,0,0,0,0,0,9929
Munster,Cork North West,Michael O’ Donnell,M,Communist Party,Others,C.P.I.,0,Excluded,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
