Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Result,Count_Number,Non_Transferable,Occurred_On_Count,Required_To_Reach_Quota,Required_To_Save_Deposit,Transfers,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Votes,Total_Votes
Cork East,Ken Curtin,M,Social Democrats,Others,S.D.,Excluded,1,0,0,9176,1255,0,1386,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,1386
Cork East,Kevin O'Keeffe,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2298,0,0,8264,8290,8347,8416,8548,8875,9254,9880,11035,11035,0,0,0,0,0,0,8264,8264
Cork East,Kieran McCarthy,M,Non-Party,Others,NON-P.,Excluded,1,0,0,8927,1006,0,1635,1692,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,1635
Cork East,Mary Linehan-Foley,F,Non-Party,Others,NON-P.,Excluded,1,0,0,7417,0,0,3145,3280,3365,3515,4104,4132,0,0,0,0,0,0,0,0,0,0,3145,3145
Cork East,Natasha Harty,F,Green Party,G.P.,G.P.,Excluded,1,0,0,9756,1835,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,806
Cork East,Noel McCarthy,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,6156,0,0,4406,4425,4479,4565,4718,5688,5779,6203,0,0,0,0,0,0,0,0,4406,4406
Cork East,Paddy Bullman,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10321,2400,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,241
Cork East,Pat Buckley,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,5204,0,0,5358,5437,5572,5969,6776,6861,7681,8175,8457,8639,0,0,0,0,0,0,5358,5358
Cork East,Paul Bradford,M,Renua Ireland,Others,R.I.,Excluded,1,0,0,7318,0,0,3244,3327,3460,3531,3834,4191,4596,0,0,0,0,0,0,0,0,0,3244,3244
Cork East,Ross Cannon,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10415,2494,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147
Cork East,Sean Sherlock,M,The Labour Party,LAB.,LAB.,Elected,1,0,0,3613,0,0,6949,7124,7394,7486,7780,8674,8986,9916,11803,10562,0,0,0,0,0,0,6949,6949
Cork East,Tom Barry,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,7101,0,0,3461,3495,3520,3532,3573,0,0,0,0,0,0,0,0,0,0,0,3461,3461
Cork North Central,Billy Kelleher,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,14286,10235,10235,10235,10235,10235,10235,10235,10235,10235,10235,0,0,0,0,0,14286,14286
Cork North Central,Dara Murphy,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,4971,0,0,5264,5718,5746,5800,5957,6008,6166,6250,6369,6403,9256,0,0,0,0,0,5264,5264
Cork North Central,Ger Keohane,M,Non-Party,Others,NON-P.,Excluded,1,0,0,9323,1647,0,912,1152,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,912,912
Cork North Central,Jonathan O'Brien,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,4004,0,0,6231,6641,6754,6865,6939,7260,7462,11079,10235,10235,10235,0,0,0,0,0,6231,6231
Cork North Central,Julie O'Leary,F,Fine Gael,F.G.,F.G.,Excluded,1,0,0,6394,0,0,3841,4283,4364,4443,4687,4771,5138,5225,5488,5581,0,0,0,0,0,0,3841,3841
Cork North Central,Kathleen Lynch,F,The Labour Party,LAB.,LAB.,Excluded,1,0,0,6512,0,0,3723,4358,4419,4506,4608,4718,5286,5436,5805,5973,7491,0,0,0,0,0,3723,3723
Cork North Central,Mick Barry,M,Anti-Austerity Alliance,Others,AAA-PBP,Elected,1,0,0,2194,0,0,8041,8713,8904,9138,9347,10097,10714,10714,10714,10235,10235,0,0,0,0,0,8041,8041
Cork North Central,Mick Murphy,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10020,2344,0,215,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215
Cork North Central,Oliver Moran,M,Green Party,G.P.,G.P.,Excluded,1,0,0,8542,866,0,1693,1936,2011,2108,2331,2490,0,0,0,0,0,0,0,0,0,0,1693,1693
Cork North Central,Paddy O'Leary,M,Renua Ireland,Others,R.I.,Excluded,1,0,0,9115,1439,0,1120,1445,1520,1716,0,0,0,0,0,0,0,0,0,0,0,0,1120,1120
Cork North Central,Peter O'Loughlin,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10052,2376,0,183,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183
Cork North Central,Ted Tynan,M,Workers Party,Others,W.P.,Excluded,1,0,0,8816,1140,0,1419,1615,1694,1805,1919,0,0,0,0,0,0,0,0,0,0,0,1419,1419
Cork North Central,Thomas Gould,M,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,6462,0,0,3773,4047,4100,4175,4236,4398,4458,0,0,0,0,0,0,0,0,0,3773,3773
Cork North Central,Thomas Kiely,M,Non-Party,Others,NON-P.,Excluded,1,0,0,9762,2086,0,473,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,473
Cork North West,Aindrias Moynihan,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2816,0,0,8924,9004,9201,9367,9678,9956,10755,11141,11959,0,0,0,0,0,0,0,8924,8924
Cork North West,Áine Collins Collins,F,Fine Gael,F.G.,F.G.,Excluded,1,0,0,5503,0,0,6237,6297,6495,6685,6944,7191,7388,0,0,0,0,0,0,0,0,0,6237,6237
Cork North West,Cormac Manning,M,Green Party,G.P.,G.P.,Excluded,1,0,0,10386,1582,0,1354,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,1354
Cork North West,Diarmuid O'Flynn,M,Non-Party,Others,NON-P.,Excluded,1,0,0,9581,777,0,2159,2317,2499,2727,2930,0,0,0,0,0,0,0,0,0,0,0,2159,2159
Cork North West,Jason Fitzgerald,M,Renua Ireland,Others,R.I.,Excluded,1,0,0,10172,1368,0,1568,1633,1760,1880,0,0,0,0,0,0,0,0,0,0,0,0,1568,1568
Cork North West,Jerry O'Sullivan,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11262,2458,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,478
Cork North West,John Paul O'Shea,M,Non-Party,Others,NON-P.,Excluded,1,0,0,6926,0,0,4814,4919,5033,5444,5723,6687,7897,8549,9680,0,0,0,0,0,0,0,4814,4814
Cork North West,Michael Creed,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,2871,0,0,8869,9024,9174,9327,9566,9747,10078,14957,11740,0,0,0,0,0,0,0,8869,8869
Cork North West,Michael Moynihan,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,4408,0,0,7332,7344,7374,7519,7758,8144,8388,9228,9929,0,0,0,0,0,0,0,7332,7332
Cork North West,Michael O’ Donnell,M,Communist Party,Others,C.P.I.,Excluded,1,0,0,11555,2751,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185
Cork North West,Nigel Dennehy,M,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,8502,0,0,3238,3334,3485,3633,3783,4256,0,0,0,0,0,0,0,0,0,0,3238,3238
Cork North West,Shirley Griffin,F,Non-Party,Others,NON-P.,Excluded,1,0,0,11301,2497,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,439
Cork North West,Steven O'Riordan,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10379,1575,0,1361,1530,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,1361,1361
Cork South Central,Ciarán Kenneally,M,Renua Ireland,Others,R.I.,Excluded,1,0,0,10250,1898,0,887,931,944,951,990,1014,0,0,0,0,0,0,0,0,0,0,887,887
Cork South Central,Ciarán Lynch,M,The Labour Party,LAB.,LAB.,Excluded,1,0,0,8720,368,0,2417,2462,2478,2481,2504,2513,2574,2611,2685,0,0,0,0,0,0,0,2417,2417
Cork South Central,Diarmaid Ó Cadhla,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10268,1916,0,869,885,891,941,1047,1107,1188,0,0,0,0,0,0,0,0,0,869,869
Cork South Central,Donnchadh Uinseann Ó Laoghaire,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,4151,0,0,6986,7090,7122,7152,7257,7414,7524,7877,8366,8526,10653,0,0,0,0,0,6986,6986
Cork South Central,Elizabeth Hourihane,F,Non-Party,Others,NON-P.,Excluded,1,0,0,10833,2481,0,304,327,329,333,0,0,0,0,0,0,0,0,0,0,0,0,304,304
Cork South Central,Fiona Ryan,F,Anti-Austerity Alliance,Others,AAA-PBP,Excluded,1,0,0,10200,1848,0,937,954,960,976,1037,1492,1592,1882,0,0,0,0,0,0,0,0,937,937
Cork South Central,Jerry Buttimer,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,4718,0,0,6419,6498,6530,6532,6568,6582,6701,6727,6786,7843,9117,0,0,0,0,0,6419,6419
Cork South Central,Jim O'Connell,M,Anti-Austerity Alliance,Others,AAA-PBP,Excluded,1,0,0,10342,1990,0,795,810,815,829,880,0,0,0,0,0,0,0,0,0,0,0,795,795
Cork South Central,Joe Harris,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10787,2435,0,350,371,376,388,0,0,0,0,0,0,0,0,0,0,0,0,350,350
Cork South Central,Lorna Bogue,F,Green Party,G.P.,G.P.,Excluded,1,0,0,9073,721,0,2064,2095,2108,2114,2183,2243,2364,2452,2930,3291,0,0,0,0,0,0,2064,2064
Cork South Central,Michael Joseph Mohally,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10967,2615,0,170,173,176,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170
Cork South Central,Michael McGrath,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,11795,11137,11137,11137,11137,11137,11137,11137,11137,11137,11137,0,0,0,0,0,11795,11795
Cork South Central,Micheál Martin,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,11346,11346,11137,11137,11137,11137,11137,11137,11137,11137,11137,0,0,0,0,0,11346,11346
Cork South Central,Mick Finn,M,Non-Party,Others,NON-P.,Excluded,1,0,0,8759,407,0,2378,2423,2446,2454,2528,2583,2686,2869,3199,3356,0,0,0,0,0,0,2378,2378
Cork South Central,Simon Coveney,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3172,0,0,7965,8180,8233,8241,8293,8303,8468,8527,8591,9315,10372,0,0,0,0,0,7965,7965
Cork South West,Alan Coleman,M,Non-Party,Others,NON-P.,Excluded,1,0,0,5860,0,0,4955,5272,5634,6405,0,0,0,0,0,0,0,0,0,0,0,0,4955,4955
Cork South West,Fiona Pettit O’leary,F,Non-Party,Others,NON-P.,Excluded,1,0,0,10392,2281,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,423
Cork South West,Gillian Powell,F,Non-Party,Others,NON-P.,Excluded,1,0,0,10114,2003,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,701
Cork South West,Jim Daly,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3445,0,0,7370,7633,8523,8774,9799,0,0,0,0,0,0,0,0,0,0,0,7370,7370
Cork South West,Johnny O’ Mahony,M,Green Party,G.P.,G.P.,Excluded,1,0,0,10063,1952,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,752
Cork South West,Margaret Murphy O'Mahony,F,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2333,0,0,8482,8845,9228,10020,11962,0,0,0,0,0,0,0,0,0,0,0,8482,8482
Cork South West,Michael Collins,M,Non-Party,Others,NON-P.,Elected,1,0,0,4050,0,0,6765,7347,7793,9258,11063,0,0,0,0,0,0,0,0,0,0,0,6765,6765
Cork South West,Michael McCarthy,M,The Labour Party,LAB.,LAB.,Excluded,1,0,0,7780,0,0,3035,3397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035,3035
Cork South West,Noel Harrington,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,4382,0,0,6433,6574,7377,7544,8208,0,0,0,0,0,0,0,0,0,0,0,6433,6433
Cork South West,Rachel McCarthy,F,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,7159,0,0,3656,3993,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,3656,3656
Cork South West,Theresa Heaney,F,Catholic Democrats,Others,C.D.,Excluded,1,0,0,10129,2018,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,686
Donegal,Charlie McConalogue,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,12533,12533,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,0,0,0,12533,12533
Donegal,Cordelia NicFhearraigh,F,Fís Nua,Others,F.N.,Excluded,1,0,0,12148,2985,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70
Donegal,Dessie Sheils,M,Non-Party,Others,NON-P.,Excluded,1,0,0,8494,0,0,3724,3724,3739,3986,4166,4288,4463,4497,4540,0,0,0,0,0,0,0,3724,3724
Donegal,Frank McBrearty,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10304,1141,0,1914,1917,1921,1981,0,0,0,0,0,0,0,0,0,0,0,0,1914,1914
Donegal,Gary Doherty,M,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,8082,0,0,4136,4138,4142,4183,4377,4420,4456,0,0,0,0,0,0,0,0,0,4136,4136
Donegal,Ian McGarvey,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11236,2073,0,982,982,989,0,0,0,0,0,0,0,0,0,0,0,0,0,982,982
Donegal,Joe McHugh,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3806,0,0,8412,8414,8443,8704,8795,8965,11016,11040,11061,11784,12469,12469,12218,0,0,0,8412,8412
Donegal,Michael Mooney,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11821,2658,0,397,402,407,0,0,0,0,0,0,0,0,0,0,0,0,0,397,397
Donegal,Niamh Kennedy,F,Non-Party,Others,NON-P.,Excluded,1,0,0,10382,1219,0,1836,1842,1848,1983,2057,0,0,0,0,0,0,0,0,0,0,0,1836,1836
Donegal,Paddy Harte,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,9387,224,0,2831,2832,2838,2934,3133,3244,0,0,0,0,0,0,0,0,0,0,2831,2831
Donegal,Pádraig MacLochlainn,M,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,6476,0,0,5742,5743,5773,5893,5961,6008,6032,6567,8509,9143,9716,9852,9898,0,0,0,5742,5742
Donegal,Pat The Cope Gallagher,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2020,0,0,10198,10203,10362,10504,10694,10941,11160,11267,11398,11832,13138,12218,12218,0,0,0,10198,10198
Donegal,Paula Mary Flanagan,F,Green Party,G.P.,G.P.,Excluded,1,0,0,11790,2627,0,428,442,443,0,0,0,0,0,0,0,0,0,0,0,0,0,428,428
Donegal,Pearse Doherty,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,1918,0,0,10300,10305,10330,10524,10870,11053,11190,14600,12218,12218,12218,12218,12218,0,0,0,10300,10300
Donegal,Thomas Pringle,M,Non-Party,Others,NON-P.,Elected,1,0,0,5998,0,0,6220,6239,6247,6498,6689,7389,7522,7617,7722,8491,9642,9888,10082,0,0,0,6220,6220
Donegal,Tim Jackson,M,Non-Party,Others,NON-P.,Excluded,1,0,0,8638,0,0,3580,3585,3601,3752,4034,4319,4524,4650,4790,5864,0,0,0,0,0,0,3580,3580
Dublin Bay North,Aodhán Ó Ríordáin,M,The Labour Party,LAB.,LAB.,Excluded,1,0,0,6596,0,0,5675,5683,5701,5920,5932,6183,6201,6581,7057,7299,7320,7544,8547,9947,10329,0,5675,5675
